type,encoded_text,scheme,num_of_chars,contains_bit_only,contains_decimal_only,contains_hex_only,contains_alpha_only,contains_upper_case_only,contains_lower_case_only,contains_mixed_upper_lower_case,contains_equal,contains_slash,contains_dot,contains_colon,contains_special_chars
Oracle 11g,S:AC45153C7122CE35620848FC8653BED056830ADE6852CD2B014BD52A75E6,None,62,0,0,0,0,1,0,0,0,0,0,1,1
PBKDF2-HMAC-SHA256,629c754355fc8b96db896b2ddcc3d7580ab553b7c114d86d414443d492ee3c6f,None,64,0,0,1,0,0,1,0,0,0,0,0,0
PBKDF2-HMAC-SHA512,cb684b354a139ead947d95f4d74b92dee5c8418a8306012e8c916f23c9bfb9a7c3cef128b32dc8add729eefc85a7fb8bc6ac39876d0e8a350002d1b37338611b,None,128,0,0,1,0,0,1,0,0,0,0,0,0
PHPass,$P$HWvwWQc94TwFDPr/9b3ByDubt95yAT1,$P$,34,0,0,0,0,0,0,1,0,1,0,0,1
PostgreSQL MD5,md5f03277c00dbf1d5e6d9c554b7ace1faa,None,35,0,0,0,0,0,1,0,0,0,0,0,0
ROT13,123456789,None,9,0,1,1,0,0,0,0,0,0,0,0,0
ROT47,`abcdefgh,None,9,0,0,0,0,0,1,0,0,0,0,0,1
SCRAM,"$scram$100000$ptS6l7J2zlmLkXJu$sha-1=fS8FDwkxZ.kxv88DDqWV7gfcDbk,sha-256=Qo7E5DDQjwecA9/mXeV9uxL0dGJTvd63rNU82R23P4g,sha-512=PJwhlaSu/3xpzm6MMSbmBzYFd5WmS7HnYR44GZpOdTvTO4lVGz2KSNa8.dR7VE2.4cNfps35Auyw/qSuixjynw",$scram$,211,0,0,0,0,0,0,1,1,1,1,0,1
scrypt,"$scrypt$ln=16,r=8,p=1$xpgzRug9B8AYo9Raa+0dww$SZXJT3/EoXCxtJvREy8LIvuEV0E5xwT/X24HdZu6Cd8",$scrypt$,88,0,0,0,0,0,0,1,1,1,0,0,1
SHA1,f7c3bc1d808e04732adf679965ccc34ca7ae3441,None,40,0,0,1,0,0,1,0,0,0,0,0,0
sha1crypt,$sha1$480000$TfSBYK.9$j4Xky95IcVLMAaEbITJ2YuAP05NC,$sha1$,50,0,0,0,0,0,0,1,0,0,1,0,1
SHA224,9b3e61bf29f17c75572fae2e86e17809a4513d07c8a18152acf34521,None,56,0,0,1,0,0,1,0,0,0,0,0,0
SHA256,15e2b0d3c33891ebb0f1ef609ec419420c20e320ce94c65fbc8c3312448eb225,None,64,0,0,1,0,0,1,0,0,0,0,0,0
sha256crypt,$5$rounds=535000$qE8V3tIZfBxrcjTK$o7qyVoLl6VsyzWJZuJWlkBdCyxuNMguWMshxAsvbuWB,$5$,77,0,0,0,0,0,0,1,1,0,0,0,1
SHA384,eb455d56d2c1a69de64e832011f3393d45f3fa31d6842f21af92d2fe469c499da5e3179847334a18479c8d1dedea1be3,None,96,0,0,1,0,0,1,0,0,0,0,0,0
SHA512,d9e6762dd1c8eaf6d61b3c6192fc408d4d6d5f1176d0c29169bc24e71c3f274ad27fcd5811b313d681f7e55ec02d73d499c95455b6b5bb503acf574fba8ffe85,None,128,0,0,1,0,0,1,0,0,0,0,0,0
sha512crypt,$6$rounds=656000$t44xGEfLHmLFDD2H$Edy6xJQpVvh/bEREmRv4xlOuzckvacqlRAQEXXgFDL3UwI1f9JYuD33fL.v4.EwONiY4VicCkkZpGCfFgGFl./,$6$,120,0,0,0,0,0,0,1,1,1,1,0,1
SHA3-224,5795c3d628fd638c9835a4c79a55809f265068c88729a1a3fcdf8522,None,56,0,0,1,0,0,1,0,0,0,0,0,0
SHA3-256,87cd084d190e436f147322b90e7384f6a8e0676c99d21ef519ea718e51d45f9c,None,64,0,0,1,0,0,1,0,0,0,0,0,0
SHA3-384,8b90ede4d095409f1a12492c2520599683a9478dc70b7566d23b3e41ece8538c6cde92382a5e38786490375c54672abf,None,96,0,0,1,0,0,1,0,0,0,0,0,0
SHA3-512,e1e44d20556e97a180b6dd3ed7ae5c465cafd553fa8747dca038fb95635b77a37318f7ddf7aec1f6c3c14bb160ba2497007decf38dd361cab199e3b8c8fe1f5c,None,128,0,0,1,0,0,1,0,0,0,0,0,0
Apache MD5 Crypt,$apr1$e73Kc3/e$w6TVRhKRnpDAgYN3puBIj/,$apr1$,37,0,0,0,0,0,0,1,0,1,0,0,1
Argon2,"$argon2id$v=19$m=65536,t=4,p=4$uvceI6TUuvfeW2sNIWTMmQ$7ORKdvoVpI3QcuUvP8+l7RR057Mm5R6pQQr80YANPK0",$argon2id$,97,0,0,0,0,0,0,1,1,0,0,0,1
Atbash,ª©¨§¦,None,5,0,0,0,0,0,1,0,0,0,0,0,1
Atlassian PBKDF2 SHA1,{PKCS5S2}Ywzh3JtT6j3n/L93rtUao15RbkPtmGUt/KHMB/slo5+3y0W0kVRFkG0dnmdgkFdW,{PKCS5S2},73,0,0,0,0,0,0,1,0,1,0,0,1
Base32,GEZDGNBV,None,8,0,0,0,1,1,0,0,0,0,0,0,0
Base64,MTIzNDU=,None,8,0,0,0,0,0,0,1,1,0,0,0,1
BCrypt,$2a$12$5lZJt5D5WZ.5vtVDugx3SelD1sOrRP627i30LcHPGLRT1ViJl/tgy,$2a$,60,0,0,0,0,0,0,1,0,1,1,0,1
BCrypt,$2b$12$GVqOs4a5USbXzd4RiQl.Pez60xSTW1754D/rA5kQXFavdl3hneF/.,$2b$,60,0,0,0,0,0,0,1,0,1,1,0,1
Binary,110001110010110011110100110101,None,30,1,1,1,0,0,0,0,0,0,0,0,0
BLAKE2b,8b28f613fa1ccdb1d303704839a0bb196424f425badfa4e4f43808f6812b6bcc0ae43374383bb6e46294d08155a64acbad92084387c73f696f00368ea106ebb4,None,128,0,0,1,0,0,1,0,0,0,0,0,0
BLAKE2s,a076a699190673026fe44f7b523d321fcae79e70945007bdb1c86295a11c4135,None,64,0,0,1,0,0,1,0,0,0,0,0,0
BSDi Crypt,_7C/.R5jJU4i7kszxlP6,None,20,0,0,0,0,0,0,1,0,1,1,0,1
Caesar,ijklm,None,5,0,0,0,1,0,1,0,0,0,0,0,0
CISCO-ASA MD5,UwiM/pkFcM.xYc8s,None,16,0,0,0,0,0,0,1,0,1,1,0,1
CISCO-PIX MD5,UwiM/pkFcM.xYc8s,None,16,0,0,0,0,0,0,1,0,1,1,0,1
CISCO Type 7,135445415F59,None,12,0,0,1,0,1,0,0,0,0,0,0,0
CRC-16,21612,None,5,0,1,1,0,0,0,0,0,0,0,0,0
CRC-32,89548716,None,8,0,1,1,0,0,0,0,0,0,0,0,0
CRC-64,12610369057543680469,None,20,0,1,1,0,0,0,0,0,0,0,0,0
Decimal,4950515253,None,10,0,1,1,0,0,0,0,0,0,0,0,0
DES Crypt,iGGXpCX31T26I,None,13,0,0,0,0,0,0,1,0,0,0,0,0
Django Argon2,"argon2$argon2i$v=19$m=65536,t=3,p=4$nHNOyZlzbi1F6P3/X2tNCQ$zzTfn1i8OKCLr1/39Rc7HPVtogvl3i4Vh0BQP72S5JE",None,102,0,0,0,0,0,0,1,1,1,0,0,1
Django BCrypt,bcrypt$$2b$12$GUQDk8wEowcONZIxmRmIWu8JNiorJaThcA7gGgZh6mCAxCdqOjtHq,None,67,0,0,0,0,0,0,1,0,0,0,0,1
Django BCrypt SHA256,bcrypt_sha256$$2b$12$WPDBj0qBvHcBlKxL2KRAb.cRYe1XhKx15IwCDy71xIgY7cyxBwGMe,None,74,0,0,0,0,0,0,1,0,0,1,0,1
Django DES Crypt,crypt$M1$M1UvnWkAHke5c,None,22,0,0,0,0,0,0,1,0,0,0,0,1
Django PBKDF2 SHA1,pbkdf2_sha1$131000$9tpSNt1fu84q$kO1rwETt9BiVBPNIHx8I20cyTiw=,None,60,0,0,0,0,0,0,1,1,0,0,0,1
Django PBKDF2 SHA256,pbkdf2_sha256$29000$vBbYAVAuQnsE$ynmEx4HjuIlZ8r07I+f0Lb+8rjrlehfma0JQTYKO3IY=,None,77,0,0,0,0,0,0,1,1,0,0,0,1
Django salted MD5,md5$q7DB9xkKYUjl$e069bd91e605a50c9840d28a245d16d3,None,49,0,0,0,0,0,0,1,0,0,0,0,1
Django salted SHA1,sha1$Q0luzibvESTL$05b8e10dabddee833b188b6a6f34bcf38daac5cc,None,58,0,0,0,0,0,0,1,0,0,0,0,1
Grub PBKDF2 SHA512,grub.pbkdf2.sha512.25000.C8F93F87F0DEBB973286B0766E6D4DA9D59A13C278EF3DA7F41E438871EE5DEB1D83F0DEDBFB7F6F2DA574EEBD37A6548A514AC9D95B6B4DC919A33406E0BC97.27E73FF3A4FE8F0BDB85DCA7C4431FACE95C5B4AA9DB7BA0C1B6C48402B8AEE067CBD819584999E2071B39DAFB1FF00E62E6D396C26396544485B4F86D773C4D,None,282,0,0,0,0,0,0,1,0,0,1,0,1
Hex,3132333435,None,10,0,1,1,0,0,0,0,0,0,0,0,0
HMAC-SHA1,3beb4dcd4d5276a3107ef503d83c8ea978e4fe1b,None,40,0,0,1,0,0,1,0,0,0,0,0,0
HMAC-SHA256,f88c7ebe4740db59c873cecf5e1f18e3726a1ad64068a13d764b79028430ab0e,None,64,0,0,1,0,0,1,0,0,0,0,0,0
HMAC-SHA512,9e4712b4233471d220ffd90f05a38b5472e6e4cb64f73cc95e0300324ade159c264b253bb27ac15336867cf8a4a5759ec11c8e262d8851804046b0fcbb55f88e,None,128,0,0,1,0,0,1,0,0,0,0,0,0
Keccak-224,422cd1a1b318dcfecde7d5cb612fe9305306fcac47def0db5c795361,None,56,0,0,1,0,0,1,0,0,0,0,0,0
Keccak-256,1841d653f9c4edda9d66a7e7737b39763d6bd40f569a3ec6859d3305b72310e6,None,64,0,0,1,0,0,1,0,0,0,0,0,0
Keccak-384,7adf5fcb31783eb5fcfb4ac968a53c8f7d6b08a1218fbd7b03ba787fd991f7ffbe833f512ea742813a462b15ad9467b2,None,96,0,0,1,0,0,1,0,0,0,0,0,0
Keccak-512,74bdb1e2736b3238a91dde1b02809f745b36ec82820017d3e5074b16a5701315d67e470f7cc4c4c0105f9c76c5169795f25b9477a516e78be231d66473341a97,None,128,0,0,1,0,0,1,0,0,0,0,0,0
LDAP MD5,{MD5}gnzLDuqKcGxMNKFokfhOew==,{MD5},29,0,0,0,0,0,0,1,1,0,0,0,1
LDAP salted MD5,{SMD5}1M5bEkTNW0FM8/xA2pwXqNhbSwk=,{SMD5},34,0,0,0,0,0,0,1,1,1,0,0,1
LDAP salted SHA1,{SSHA}tAVM7LROO7I66tkrWjrvbmxEFj5YC8FY,{SSHA},38,0,0,0,0,0,0,1,0,0,0,0,1
LDAP salted SHA256,{SSHA256}fu2t0i/27n1sBYtWtZTnGG8EhSrKNlkQeFXHrUFG7vn1vrcWgjCmNA==,{SSHA256},65,0,0,0,0,0,0,1,1,1,0,0,1
LDAP salted SHA512,{SSHA512}PhZY2Kiv+hoC52pOxxS+cacd4X2aMWZrKE6OzrTNPsOnbylg/TWnAKoCpEDTo+T1osuZqYXYzvr5rWK0vPNGQipFSOn9X6v1,{SSHA512},105,0,0,0,0,0,0,1,0,1,0,0,1
LDAP SHA1,{SHA}jLIjfQZ5yojbZGTqxg2pY0VROWQ=,{SHA},33,0,0,0,0,0,0,1,1,0,0,0,1
LM,aebd4de384c7ec43aad3b435b51404ee,None,32,0,0,1,0,0,1,0,0,0,0,0,0
MD4,23580e2a459f7ea40f9efa148b63cafb,None,32,0,0,1,0,0,1,0,0,0,0,0,0
MD5,827ccb0eea8a706c4c34a16891f84e7b,None,32,0,0,1,0,0,1,0,0,0,0,0,0
md5crypt,$1$.oLl72cK$zmacPvYsSqqBbOX3OLG97.,$1$,34,0,0,0,0,0,0,1,0,0,1,0,1
MSSQL 2000,0x01004428E5DC79D0635823A1752405F1E6A72C142CB9A40F00B179D0635823A1752405F1E6A72C142CB9A40F00B1,None,94,0,0,0,0,0,0,1,0,0,0,0,0
MSSQL 2005,0x0100BF57CAB921C49170A6C51BBA29AE63A1990E12951F10830B,None,54,0,0,0,0,0,0,1,0,0,0,0,0
MySQL 3.2.3,2e782c85379a326e,None,16,0,0,1,0,0,1,0,0,0,0,0,0
MySQL 4.1,*00A51F3F48415C7D4E8908980D443C29C69B60C9,None,41,0,0,0,0,1,0,0,0,0,0,0,1
NTLM,7a21990fcd3d759941e45c490f143d5f,None,32,0,0,1,0,0,1,0,0,0,0,0,0
Oracle 10g,0D848EE2B767A15A,None,16,0,0,1,0,1,0,0,0,0,0,0,0
Oracle 11g,S:789CB3BA3C38F1ADA34A2929D0F9CA901AE51A045AB2E41F53521EDA365C,None,62,0,0,0,0,1,0,0,0,0,0,1,1
PBKDF2-HMAC-SHA256,0e99185f09a58ecc6fdf38a3483da463bfbf3993563bf9e633e6d1ecd9696fd7,None,64,0,0,1,0,0,1,0,0,0,0,0,0
PBKDF2-HMAC-SHA512,0b82d28f550055382c25e01e273a67f58f1bce93b3d7588d913552d40bace655598d5e5c695c0ba61c772e566b84526d2ebeb2d6c2fdd55536c9a9fb0fb54fa7,None,128,0,0,1,0,0,1,0,0,0,0,0,0
PHPass,$P$Heh4OMLja0MSEryN2lDkHzguEOhe/h1,$P$,34,0,0,0,0,0,0,1,0,1,0,0,1
PostgreSQL MD5,md539eb97b4709a24500b63f39a12d7ce26,None,35,0,0,0,0,0,1,0,0,0,0,0,0
ROT13,12345,None,5,0,1,1,0,0,0,0,0,0,0,0,0
ROT47,`abcd,None,5,0,0,0,0,0,1,0,0,0,0,0,1
SCRAM,"$scram$100000$6d1bC6H0vtc6p7S2$sha-1=1wTyURqh32fkL/FFvi5K8HgLlyI,sha-256=pcEluSnj5WMeZkQOzw3gSCuNNAKRhD7Wx..eCG8DSyM,sha-512=ciKGWP4cLKvM2eFq5A/U.Yeetqrt82qiztyW6y5YdUD7ucZnVMmZW4jcso/at3dyRafP14UmbKljgaJDX5SKNQ",$scram$,211,0,0,0,0,0,0,1,1,1,1,0,1
scrypt,"$scrypt$ln=16,r=8,p=1$Ssn539sbY8zZm1OKUaoVYg$APB+1bj5w32xZf/AUvuPmMO+eCBUSQyGNHSjQAZyXbM",$scrypt$,88,0,0,0,0,0,0,1,1,1,0,0,1
SHA1,8cb2237d0679ca88db6464eac60da96345513964,None,40,0,0,1,0,0,1,0,0,0,0,0,0
sha1crypt,$sha1$480000$FgQDYV4V$glyngWH3.JwLekYdFlWOUP6UD5Kq,$sha1$,50,0,0,0,0,0,0,1,0,0,1,0,1
SHA224,a7470858e79c282bc2f6adfd831b132672dfd1224c1e78cbf5bcd057,None,56,0,0,1,0,0,1,0,0,0,0,0,0
SHA256,5994471abb01112afcc18159f6cc74b4f511b99806da59b3caf5a9c173cacfc5,None,64,0,0,1,0,0,1,0,0,0,0,0,0
sha256crypt,$5$rounds=535000$Xz6rvs.kcvKyDmx.$aYKtFiN9V6NRdNWHE.yE.M1H2gz3YcfJtiDXcoHY301,$5$,77,0,0,0,0,0,0,1,1,0,1,0,1
SHA384,0fa76955abfa9dafd83facca8343a92aa09497f98101086611b0bfa95dbc0dcc661d62e9568a5a032ba81960f3e55d4a,None,96,0,0,1,0,0,1,0,0,0,0,0,0
SHA512,3627909a29c31381a071ec27f7c9ca97726182aed29a7ddd2e54353322cfb30abb9e3a6df2ac2c20fe23436311d678564d0c8d305930575f60e2d3d048184d79,None,128,0,0,1,0,0,1,0,0,0,0,0,0
sha512crypt,$6$rounds=656000$SsN1CNxJ09fGsvZM$SL0cOoirJzZxyOlUAmdU7XLcEbqgL4aBVzCy01KPy/U5qHmmEMBqXkCuXDgrjcSpmI76xkcTZuVb0sCX4IwEr/,$6$,120,0,0,0,0,0,0,1,1,1,0,0,1
SHA3-224,94cc697550f5c7399d179e206cf1e7bf90e17de8a87ff0f9368ec839,None,56,0,0,1,0,0,1,0,0,0,0,0,0
SHA3-256,7d4e3eec80026719639ed4dba68916eb94c7a49a053e05c8f9578fe4e5a3d7ea,None,64,0,0,1,0,0,1,0,0,0,0,0,0
SHA3-384,161609f9697539edd5e03b6f5bfd1735f5c6037e0b00027c45a80386d5ebdcd3eb4bde062710914c7f37bd45f1c8021d,None,96,0,0,1,0,0,1,0,0,0,0,0,0
SHA3-512,0a2a1719bf3ce682afdbedf3b23857818d526efbe7fcb372b31347c26239a0f916c398b7ad8dd0ee76e8e388604d0b0f925d5e913ad2d3165b9b35b3844cd5e6,None,128,0,0,1,0,0,1,0,0,0,0,0,0
Apache MD5 Crypt,$apr1$/TLh8feh$baOBvsYAWAh7okh9cPrm41,$apr1$,37,0,0,0,0,0,0,1,0,1,0,0,1
Argon2,"$argon2id$v=19$m=65536,t=4,p=4$55wzpvQe41wrhZAyxjhnrA$dinPfJiR3JBG/5IM7r3ZAlUNN+gmncNiiGjKl4WZ/oQ",$argon2id$,97,0,0,0,0,0,0,1,1,1,0,0,1
Atbash,ª©¨§¦¥,None,6,0,0,0,0,0,1,0,0,0,0,0,1
Atlassian PBKDF2 SHA1,{PKCS5S2}AcCYMyYEoJSS0jpnLGXsnWP906G/Zp25nvKi37usRpLzqaz9psjsKDQ9zZNNE3T6,{PKCS5S2},73,0,0,0,0,0,0,1,0,1,0,0,1
Base32,GEZDGNBVGY======,None,16,0,0,0,0,1,0,0,1,0,0,0,1
Base64,MTIzNDU2,None,8,0,0,0,0,0,0,1,0,0,0,0,0
BCrypt,$2a$12$TGJCrgewCgrLe2n095Ru8OKns4BTnvfS.0FN8QiXFP.p5RbM25X.e,$2a$,60,0,0,0,0,0,0,1,0,0,1,0,1
BCrypt,$2b$12$jMn2JbBNU/RLt/EUpFvnAO3hTqLJVGTmFm6PnAClVTg6Wev0PJIZm,$2b$,60,0,0,0,0,0,0,1,0,1,0,0,1
Binary,110001110010110011110100110101110110,None,36,1,1,1,0,0,0,0,0,0,0,0,0
BLAKE2b,b3910b0f4b6f1aede44da90bb7705a868b265861b36e6f7f29dba7223f6f1ce7b10e0dd25e47deb70bd7f3b24f7da653409cd9014f8715e4013c15fee38ab418,None,128,0,0,1,0,0,1,0,0,0,0,0,0
BLAKE2s,ba2649757ec72ed0b9bd8b3063687767946145f13abcb38e2718fdaad6c771e0,None,64,0,0,1,0,0,1,0,0,0,0,0,0
BSDi Crypt,_7C/.D/KWFWfbNMf/8/.,None,20,0,0,0,0,0,0,1,0,1,1,0,1
Caesar,ijklmn,None,6,0,0,0,1,0,1,0,0,0,0,0,0
CISCO-ASA MD5,jDUXMyqeIzxQIVgK,None,16,0,0,0,1,0,0,1,0,0,0,0,0
CISCO-PIX MD5,jDUXMyqeIzxQIVgK,None,16,0,0,0,1,0,0,1,0,0,0,0,0
CISCO Type 7,08701E1D5D4C53,None,14,0,0,1,0,1,0,0,0,0,0,0,0
CRC-16,8420,None,4,0,1,1,0,0,0,0,0,0,0,0,0
CRC-32,2093816374,None,10,0,1,1,0,0,0,0,0,0,0,0,0
CRC-64,4708065081048288015,None,19,0,1,1,0,0,0,0,0,0,0,0,0
Decimal,495051525354,None,12,0,1,1,0,0,0,0,0,0,0,0,0
DES Crypt,vnQlmmqFljl6Q,None,13,0,0,0,0,0,0,1,0,0,0,0,0
